TLC,MTY,8°C,18.07°C
CUN,MEX,26°C,15.85°C
MEX,CUN,15.85°C,26°C
MEX,CUN,15.85°C,26°C
MEX,CUN,15.85°C,26°C
MEX,CUN,15.85°C,26°C
MEX,CUN,15.85°C,26°C
MEX,CUN,15.85°C,26°C
MEX,CUN,15.85°C,26°C
MEX,CUN,15.85°C,26°C
MEX,CUN,15.85°C,26°C
MEX,CUN,15.85°C,26°C
MEX,CUN,15.85°C,26°C
MEX,CUN,15.85°C,26°C
MEX,CUN,15.85°C,26°C
MEX,CUN,15.85°C,26°C
MEX,CUN,15.85°C,26°C
CUN,MEX,26°C,15.85°C
MEX,CUN,15.85°C,26°C
MEX,CUN,15.85°C,26°C
MEX,CUN,15.85°C,26°C
MEX,CUN,15.85°C,26°C
MEX,CUN,15.85°C,26°C
MEX,CUN,15.85°C,26°C
MEX,CUN,15.85°C,26°C
MEX,CUN,15.85°C,26°C
CUN,MEX,26°C,15.85°C
CUN,MEX,26°C,15.85°C
CUN,MEX,26°C,15.85°C
MEX,CUN,15.85°C,26°C
MEX,CUN,15.85°C,26°C
MEX,CUN,15.85°C,26°C
MEX,CUN,15.85°C,26°C
MEX,CUN,15.85°C,26°C
MEX,CUN,15.85°C,26°C
MEX,CUN,15.85°C,26°C
TIJ,MEX,10.63°C,15.85°C
MEX,TIJ,15.85°C,10.63°C
TIJ,MEX,10.63°C,15.85°C
MEX,TIJ,15.85°C,10.63°C
MEX,HMO,15.85°C,13.53°C
HMO,MEX,13.53°C,15.85°C
MEX,CME,15.85°C,25.21°C
MEX,CME,15.85°C,25.21°C
CME,MEX,25.21°C,15.85°C
CME,MEX,25.21°C,15.85°C
MEX,MID,15.85°C,24.43°C
MEX,MID,15.85°C,24.43°C
MID,MEX,24.43°C,15.85°C
MEX,MID,15.85°C,24.43°C
MID,MEX,24.43°C,15.85°C
MEX,CTM,15.85°C,24.82°C
MEX,CTM,15.85°C,24.82°C
CTM,MEX,24.82°C,15.85°C
CTM,MEX,24.82°C,15.85°C
CTM,MEX,24.82°C,15.85°C
CTM,MEX,24.82°C,15.85°C
CTM,MEX,24.82°C,15.85°C
CTM,MEX,24.82°C,15.85°C
MEX,CTM,15.85°C,24.82°C
MEX,CTM,15.85°C,24.82°C
MEX,CTM,15.85°C,24.82°C
MEX,CTM,15.85°C,24.82°C
CTM,MEX,24.82°C,15.85°C
CTM,MEX,24.82°C,15.85°C
VER,MEX,20.56°C,15.85°C
VER,MEX,20.56°C,15.85°C
MEX,VER,15.85°C,20.56°C
MEX,VER,15.85°C,20.56°C
MEX,VER,15.85°C,20.56°C
MEX,VER,15.85°C,20.56°C
MEX,VER,15.85°C,20.56°C
MEX,VER,15.85°C,20.56°C
MEX,VER,15.85°C,20.56°C
VER,MEX,20.56°C,15.85°C
VER,MEX,20.56°C,15.85°C
VER,MEX,20.56°C,15.85°C
VER,MEX,20.56°C,15.85°C
VER,MEX,20.56°C,15.85°C
VER,MEX,20.56°C,15.85°C
VER,MEX,20.56°C,15.85°C
VER,MEX,20.56°C,15.85°C
VER,MEX,20.56°C,15.85°C
VER,MEX,20.56°C,15.85°C
VER,MEX,20.56°C,15.85°C
VER,MEX,20.56°C,15.85°C
VER,MEX,20.56°C,15.85°C
VER,MEX,20.56°C,15.85°C
MEX,OAX,15.85°C,13.47°C
OAX,MEX,13.47°C,15.85°C
MEX,HUX,15.85°C,23.89°C
MEX,HUX,15.85°C,23.89°C
HUX,MEX,23.89°C,15.85°C
HUX,MEX,23.89°C,15.85°C
MEX,ZIH,15.85°C,22.39°C
MEX,ZIH,15.85°C,22.39°C
MEX,ZIH,15.85°C,22.39°C
MEX,ZIH,15.85°C,22.39°C
MEX,ZIH,15.85°C,22.39°C
PVR,MEX,19.44°C,15.85°C
PVR,MEX,19.44°C,15.85°C
PVR,MEX,19.44°C,15.85°C
PVR,MEX,19.44°C,15.85°C
PVR,MEX,19.44°C,15.85°C
PVR,MEX,19.44°C,15.85°C
PVR,MEX,19.44°C,15.85°C
MEX,PVR,15.85°C,19.44°C
MEX,PVR,15.85°C,19.44°C
PVR,MEX,19.44°C,15.85°C
MEX,PVR,15.85°C,19.44°C
MEX,PVR,15.85°C,19.44°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,HAV,15.85°C,19°C
MEX,BOG,15.85°C,10°C
MEX,BOG,15.85°C,10°C
MEX,BOG,15.85°C,10°C
MEX,BOG,15.85°C,10°C
MEX,BOG,15.85°C,10°C
MEX,BOG,15.85°C,10°C
MEX,BOG,15.85°C,10°C
MEX,BOG,15.85°C,10°C
MEX,BOG,15.85°C,10°C
MEX,BOG,15.85°C,10°C
MEX,BOG,15.85°C,10°C
MEX,BOG,15.85°C,10°C
MEX,BOG,15.85°C,10°C
MEX,BOG,15.85°C,10°C
MEX,BOG,15.85°C,10°C
MEX,BOG,15.85°C,10°C
MEX,BOG,15.85°C,10°C
MEX,BOG,15.85°C,10°C
MEX,BOG,15.85°C,10°C
MEX,BOG,15.85°C,10°C
MEX,BOG,15.85°C,10°C
MEX,BOG,15.85°C,10°C
MEX,BOG,15.85°C,10°C
MEX,BOG,15.85°C,10°C
MEX,BOG,15.85°C,10°C
MEX,BOG,15.85°C,10°C
MEX,BOG,15.85°C,10°C
MEX,BOG,15.85°C,10°C
MEX,BOG,15.85°C,10°C
MEX,BOG,15.85°C,10°C
MEX,BOG,15.85°C,10°C
MEX,BOG,15.85°C,10°C
MEX,BOG,15.85°C,10°C
MEX,BOG,15.85°C,10°C
MEX,BOG,15.85°C,10°C
MEX,BOG,15.85°C,10°C
MEX,BOG,15.85°C,10°C
MEX,BOG,15.85°C,10°C
MEX,BOG,15.85°C,10°C
MEX,BOG,15.85°C,10°C
MEX,BOG,15.85°C,10°C
MEX,BOG,15.85°C,10°C
MEX,BOG,15.85°C,10°C
MEX,BOG,15.85°C,10°C
MEX,BOG,15.85°C,10°C
MEX,BOG,15.85°C,10°C
MEX,BOG,15.85°C,10°C
MEX,BOG,15.85°C,10°C
MEX,BOG,15.85°C,10°C
MEX,BOG,15.85°C,10°C
MEX,BOG,15.85°C,10°C
MEX,BOG,15.85°C,10°C
MEX,BOG,15.85°C,10°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,LAX,15.85°C,13.12°C
MEX,LAX,15.85°C,13.12°C
MEX,JFK,15.85°C,3.04°C
MEX,TAM,15.85°C,18.81°C
MEX,TAM,15.85°C,18.81°C
MEX,TAM,15.85°C,18.81°C
MEX,TAM,15.85°C,18.81°C
MEX,TAM,15.85°C,18.81°C
MEX,TAM,15.85°C,18.81°C
MEX,TAM,15.85°C,18.81°C
MEX,TAM,15.85°C,18.81°C
MEX,TAM,15.85°C,18.81°C
MEX,TAM,15.85°C,18.81°C
MEX,TAM,15.85°C,18.81°C
MEX,TAM,15.85°C,18.81°C
MEX,TAM,15.85°C,18.81°C
MEX,TAM,15.85°C,18.81°C
MEX,TAM,15.85°C,18.81°C
MEX,TAM,15.85°C,18.81°C
MEX,TAM,15.85°C,18.81°C
MEX,TAM,15.85°C,18.81°C
MEX,TAM,15.85°C,18.81°C
TAM,MEX,18.81°C,15.85°C
TAM,MEX,18.81°C,15.85°C
TAM,MEX,18.81°C,15.85°C
TAM,MEX,18.81°C,15.85°C
TAM,MEX,18.81°C,15.85°C
TAM,MEX,18.81°C,15.85°C
TAM,MEX,18.81°C,15.85°C
TAM,MEX,18.81°C,15.85°C
TAM,MEX,18.81°C,15.85°C
TAM,MEX,18.81°C,15.85°C
TAM,MEX,18.81°C,15.85°C
MEX,TRC,15.85°C,14.35°C
MEX,PXM,15.85°C,23.48°C
MEX,PXM,15.85°C,23.48°C
PXM,MEX,23.48°C,15.85°C
PXM,MEX,23.48°C,15.85°C
MEX,CUN,15.85°C,26°C
CUN,MEX,26°C,15.85°C
CUN,MEX,26°C,15.85°C
CUN,MEX,26°C,15.85°C
CUN,MEX,26°C,15.85°C
CUN,MEX,26°C,15.85°C
CUN,MEX,26°C,15.85°C
CUN,MEX,26°C,15.85°C
CUN,MEX,26°C,15.85°C
CUN,MEX,26°C,15.85°C
CUN,MEX,26°C,15.85°C
CUN,MEX,26°C,15.85°C
CUN,MEX,26°C,15.85°C
ACA,MEX,22°C,15.85°C
MEX,ACA,15.85°C,22°C
ZIH,MEX,22.39°C,15.85°C
ZIH,MEX,22.39°C,15.85°C
ZIH,MEX,22.39°C,15.85°C
ZIH,MEX,22.39°C,15.85°C
ZIH,MEX,22.39°C,15.85°C
MEX,PVR,15.85°C,19.44°C
MEX,PVR,15.85°C,19.44°C
MEX,PVR,15.85°C,19.44°C
MEX,PVR,15.85°C,19.44°C
MEX,PVR,15.85°C,19.44°C
MEX,PVR,15.85°C,19.44°C
MEX,MZT,15.85°C,10°C
MEX,GUA,15.85°C,17°C
TLC,MTY,8°C,18.07°C
MTY,TLC,18.07°C,8°C
AGU,MTY,11.09°C,18.07°C
AGU,MTY,11.09°C,18.07°C
CUN,MEX,26°C,15.85°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
MEX,LIM,15.85°C,20.05°C
CUN,BOG,26°C,10°C
CUN,BOG,26°C,10°C
CUN,BOG,26°C,10°C
CUN,MID,26°C,24.43°C
MID,VER,24.43°C,20.56°C
MID,VER,24.43°C,20.56°C
MID,VSA,24.43°C,24°C
VSA,MID,24°C,24.43°C
VSA,MID,24°C,24.43°C
VSA,MID,24°C,24.43°C
VER,MID,20.56°C,24.43°C
VER,MID,20.56°C,24.43°C
CUN,BZE,26°C,26.68°C
CUN,BZE,26°C,26.68°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
MEX,MIA,15.85°C,22.85°C
